ORF_ID	Contig	Cut_Off	Best_Hit_ARO	CARD*kmer Prediction	Taxonomic kmers	Genomic kmers
NODE_1_length_579397_cov_36.226_24 # 21981 # 22310 # -1 # ID=1_24;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.518	NODE_1_length_579397_cov_36.226_24	Strict	Klebsiella pneumoniae KpnF	Unknown taxonomy (chromosome or plasmid)		chr + plasmid: 209; plasmid: 0; chr: 61; 
NODE_1_length_579397_cov_36.226_25 # 22297 # 22662 # -1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.429	NODE_1_length_579397_cov_36.226_25	Strict	Klebsiella pneumoniae KpnE	Unknown taxonomy (chromosome or plasmid)		chr + plasmid: 70; plasmid: 0; chr: 236; 
NODE_1_length_579397_cov_36.226_486 # 509415 # 510581 # -1 # ID=1_486;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.428	NODE_1_length_579397_cov_36.226_486	Strict	ugd	Escherichia coli (chromosome or plasmid)	Escherichia coli: 62; 	chr + plasmid: 544; plasmid: 0; chr: 563; 
NODE_1_length_579397_cov_36.226_528 # 561580 # 562947 # 1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.542	NODE_1_length_579397_cov_36.226_528	Strict	mdtA	Escherichia coli (chromosome or plasmid)	Escherichia coli: 210; 	chr + plasmid: 675; plasmid: 0; chr: 633; 
NODE_1_length_579397_cov_36.226_529 # 562947 # 566069 # 1 # ID=1_529;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.561	NODE_1_length_579397_cov_36.226_529	Strict	mdtB	Escherichia coli (chromosome or plasmid)	Escherichia coli: 1213; 	chr + plasmid: 708; plasmid: 0; chr: 2355; 
NODE_1_length_579397_cov_36.226_530 # 566070 # 569147 # 1 # ID=1_530;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.566	NODE_1_length_579397_cov_36.226_530	Strict	mdtC	Escherichia coli (chromosome or plasmid)	Escherichia coli: 828; 	chr + plasmid: 898; plasmid: 0; chr: 2059; 
NODE_1_length_579397_cov_36.226_532 # 570560 # 571963 # 1 # ID=1_532;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.540	NODE_1_length_579397_cov_36.226_532	Strict	baeS	Unknown taxonomy (chromosome or plasmid)		chr + plasmid: 330; plasmid: 0; chr: 1014; 
NODE_1_length_579397_cov_36.226_533 # 571960 # 572682 # 1 # ID=1_533;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.534	NODE_1_length_579397_cov_36.226_533	Perfect	baeR	Unknown taxonomy (chromosome or plasmid)		chr + plasmid: 429; plasmid: 0; chr: 234; 
NODE_2_length_406285_cov_38.6173_77 # 90383 # 91849 # -1 # ID=2_77;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.559	NODE_2_length_406285_cov_38.6173_77	Strict	mdtP	Escherichia coli (chromosome or plasmid)	Escherichia coli: 236; 	chr + plasmid: 293; plasmid: 0; chr: 1114; 
NODE_2_length_406285_cov_38.6173_78 # 91846 # 93897 # -1 # ID=2_78;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.540	NODE_2_length_406285_cov_38.6173_78	Strict	mdtO	Escherichia coli (chromosome or plasmid)	Escherichia coli: 317; 	chr + plasmid: 671; plasmid: 0; chr: 1321; 
